Standard Make,Standard Model,Standard Sub-model or Variant,Classification Type,Confirmed Model Years,First Confirmed Model Year,Last Confirmed Model Year,Validation Status,Primary Source Name,Primary Source URL,Secondary Source Name,Secondary Source URL,Source Access Date,Raw Source Value,Notes
Porsche,Panamera,Sport Turismo,Body Style,2018; 2020-2021,2018,2021,Manufacturer Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Sport,"The recall-string residual 'Sport' is a fragment of 'Sport Turismo', Porsche's official body variant of the Panamera - a body style, not a trim."
BMW,X1,sDrive28i,Drivetrain Variant,2013-2015; 2017-2022,2013,2022,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,SDRIVE28I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X1,xDrive28i,Drivetrain Variant,2013-2026,2013,2026,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE28I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X1,xDrive35i,Drivetrain Variant,2013-2015,2013,2015,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE35I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X3,sDrive28i,Drivetrain Variant,2015; 2017,2015,2017,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,SDRIVE28I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X3,xDrive28d,Drivetrain Variant,2015-2016,2015,2016,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE28D,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X3,xDrive28i,Drivetrain Variant,2011-2017,2011,2017,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE28I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X3,xDrive35i,Drivetrain Variant,2011-2017,2011,2017,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE35I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X4,xDrive28i,Drivetrain Variant,2015-2018,2015,2018,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE28I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X4,xDrive35i,Drivetrain Variant,2015-2016,2015,2016,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE35I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X5,sDrive35i,Drivetrain Variant,2014-2018,2014,2018,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,SDRIVE35I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X5,xDrive35d,Drivetrain Variant,2009-2016,2009,2016,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE35D,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X5,xDrive35i,Drivetrain Variant,2011-2018,2011,2018,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE35I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X5,xDrive50i,Drivetrain Variant,2011-2020,2011,2020,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE50I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X6,xDrive35i,Drivetrain Variant,2008-2019,2008,2019,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE35I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,X6,xDrive50i,Drivetrain Variant,2008-2019,2008,2019,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE50I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,Z4,sDrive28i,Drivetrain Variant,2012-2016,2012,2016,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,SDRIVE28I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,Z4,sDrive30i,Drivetrain Variant,2009-2011; 2019-2026,2009,2026,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,SDRIVE30I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,Z4,sDrive35i,Drivetrain Variant,2009-2016,2009,2016,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,SDRIVE35I,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,Z4,sDrive35is,Drivetrain Variant,2011-2016,2011,2016,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,SDRIVE35IS,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
BMW,i4,xDrive40,Drivetrain Variant,2024-2026,2024,2026,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,XDRIVE40,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
Chevrolet,Impala,Eassist,Engine Variant,2014-2016,2014,2016,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,EASSIST,Powertrain designation; belongs to the configuration catalog.
Chevrolet,Malibu,Eassist,Engine Variant,2013-2014,2013,2014,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,EASSIST,Powertrain designation; belongs to the configuration catalog.
Ford,C-MAX,Energi,Engine Variant,2013-2017,2013,2017,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,ENERGI,Powertrain designation; belongs to the configuration catalog.
Ford,Fusion,Energi,Engine Variant,2013-2020,2013,2020,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,ENERGI,Powertrain designation; belongs to the configuration catalog.
Hyundai,Kona,Electric,Engine Variant,2019-2025,2019,2025,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,ELECTRIC,Powertrain designation; belongs to the configuration catalog.
Jaguar,XJ,LWB,Body Style,2011-2018,2011,2018,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,LWB,Body/wheelbase designation; configuration value.
Kia,Niro EV,Electric,Engine Variant,2019-2026,2019,2026,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,ELECTRIC,Powertrain designation; belongs to the configuration catalog.
Land Rover,Range Rover,LWB,Body Style,1993-1995; 2014-2026,1993,2026,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,LWB,Body/wheelbase designation; configuration value.
Porsche,Cayenne,E-Hybrid,Engine Variant,2015-2023; 2025,2015,2025,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,E-HYBRID,Powertrain designation; belongs to the configuration catalog.
Porsche,Panamera,E-Hybrid,Engine Variant,2012; 2014-2023; 2025,2012,2025,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,E-HYBRID,Powertrain designation; belongs to the configuration catalog.
Tesla,Model S,60D,Engine Variant,2016-2019,2016,2019,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,60D,"Tesla battery/motor designation (battery kWh, D=dual motor, P=performance): a powertrain configuration, not a marketed trim."
Tesla,Model S,70D,Engine Variant,2015-2016,2015,2016,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,70D,"Tesla battery/motor designation (battery kWh, D=dual motor, P=performance): a powertrain configuration, not a marketed trim."
Tesla,Model S,75D,Engine Variant,2016-2019,2016,2019,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,75D,"Tesla battery/motor designation (battery kWh, D=dual motor, P=performance): a powertrain configuration, not a marketed trim."
Tesla,Model S,85D,Engine Variant,2015-2016,2015,2016,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,85D,"Tesla battery/motor designation (battery kWh, D=dual motor, P=performance): a powertrain configuration, not a marketed trim."
Tesla,Model S,90D,Engine Variant,2015-2019,2015,2019,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,90D,"Tesla battery/motor designation (battery kWh, D=dual motor, P=performance): a powertrain configuration, not a marketed trim."
Tesla,Model S,P100D,Engine Variant,2016-2019,2016,2019,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,P100D,"Tesla battery/motor designation (battery kWh, D=dual motor, P=performance): a powertrain configuration, not a marketed trim."
Tesla,Model S,P85D,Engine Variant,2015-2016,2015,2016,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,P85D,"Tesla battery/motor designation (battery kWh, D=dual motor, P=performance): a powertrain configuration, not a marketed trim."
Tesla,Model S,P90D,Engine Variant,2015-2019,2015,2019,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,P90D,"Tesla battery/motor designation (battery kWh, D=dual motor, P=performance): a powertrain configuration, not a marketed trim."
Tesla,Model X,60D,Engine Variant,2016-2019,2016,2019,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,60D,"Tesla battery/motor designation (battery kWh, D=dual motor, P=performance): a powertrain configuration, not a marketed trim."
